date,steps,distance,runDistance,calories
2026-03-02,7851,5451,4302,816
2026-03-03,1234,775,639,68
2026-03-04,2405,1522,1312,240
2026-03-05,2426,1532,1310,192
2026-03-06,1342,844,730,78
2026-03-07,1557,974,885,105
2026-03-08,4602,2953,2498,208
2026-03-09,5745,3823,2887,156
2026-03-10,4759,3107,2487,182
2026-03-11,5355,3659,2908,184
2026-03-12,3943,2579,2020,129
2026-03-13,5500,3599,2933,494
2026-03-14,2455,1553,1327,104
2026-03-15,5067,3250,2686,211
2026-03-16,2682,1719,1481,114
2026-03-17,2108,1363,1145,107
2026-03-18,2729,1758,1547,109
2026-03-19,2796,1754,1458,128
2026-03-20,6983,4657,3686,238
2026-03-21,14483,9699,7591,494
2026-03-22,4387,2827,2343,173
2026-03-23,2161,1370,1145,91
2026-03-24,8208,5705,4475,252
2026-03-25,2136,1370,1085,86
2026-03-26,5605,3869,3072,178
2026-03-27,6040,4175,3360,198
2026-03-28,1711,1095,887,69
2026-03-29,1893,1203,1001,93
2026-03-30,13947,9645,7475,581
2026-03-31,7851,5412,4224,249
2026-04-01,11355,7929,6146,599
2026-04-02,2329,1482,1211,94
2026-04-03,3743,2362,1933,155
2026-04-04,13016,8232,6790,1229
2026-04-05,5776,3675,3026,224
2026-04-06,1032,645,538,55
2026-04-07,5779,3873,3044,565
2026-04-08,3009,1935,1603,344
2026-04-09,5980,4132,3274,204
2026-04-10,6998,4677,3621,204
2026-04-11,15187,10509,8003,439
2026-04-12,10318,7224,5672,464
2026-04-13,7043,4880,3755,440
2026-04-14,8845,6484,5006,520
2026-04-15,7342,5054,3877,216
2026-04-16,6459,4446,3515,387
2026-04-17,9099,6291,4873,335
2026-04-18,2163,1389,1210,115
2026-04-19,6412,4184,3354,431
2026-04-20,2866,1817,1431,117
2026-04-21,7340,5109,3967,219
2026-04-22,13959,9533,7260,396
2026-04-23,12470,8636,6668,605
2026-04-24,4689,3069,2549,168
2026-04-25,3731,2645,2072,684
2026-04-26,8267,5315,4303,296
2026-04-27,8938,6028,4771,254
2026-04-28,3267,2098,1707,502
2026-04-29,5219,3591,2796,343
2026-04-30,6469,4464,3526,205
